2026-07-29 17:16:14,688 INFO corporate_actions: 4064 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 17:17:18,337 ERROR yfinance: $ALLG: possibly delisted; no timezone found
2026-07-29 17:17:18,653 ERROR yfinance: $ALLG.WS: possibly delisted; no timezone found
2026-07-29 17:17:19,009 ERROR yfinance: $ALLK: possibly delisted; no timezone found
2026-07-29 17:17:19,913 ERROR yfinance: $ALNA: possibly delisted; no timezone found
2026-07-29 17:17:20,764 ERROR yfinance: $ALORW: possibly delisted; no timezone found
2026-07-29 17:17:21,026 ERROR yfinance: $ALPAW: possibly delisted; no timezone found
2026-07-29 17:17:21,307 ERROR yfinance: $ALR: possibly delisted; no timezone found
2026-07-29 17:17:21,643 ERROR yfinance: $ALRN: possibly delisted; no timezone found
2026-07-29 17:17:21,956 ERROR yfinance: $ALSAR: possibly delisted; no timezone found
2026-07-29 17:17:22,320 ERROR yfinance: $ALSAW: possibly delisted; no timezone found
2026-07-29 17:17:22,632 ERROR yfinance: $ALSK: possibly delisted; no timezone found
2026-07-29 17:17:23,324 ERROR yfinance: $ALTM: possibly delisted; no timezone found
2026-07-29 17:17:23,604 ERROR yfinance: $ALTUW: possibly delisted; no timezone found
2026-07-29 17:17:23,893 ERROR yfinance: $ALUS.WS: possibly delisted; no timezone found
2026-07-29 17:17:25,254 ERROR yfinance: $AMAOW: possibly delisted; no timezone found
2026-07-29 17:17:26,045 ERROR yfinance: $AMBC.WS: possibly delisted; no timezone found
2026-07-29 17:17:27,476 ERROR yfinance: $AMCIU: possibly delisted; no timezone found
2026-07-29 17:17:27,812 ERROR yfinance: $AMCIW: possibly delisted; no timezone found
2026-07-29 17:17:28,332 ERROR yfinance: $AMHC: possibly delisted; no timezone found
2026-07-29 17:17:28,647 ERROR yfinance: $AMHCU: possibly delisted; no timezone found
2026-07-29 17:17:28,983 ERROR yfinance: $AMHCW: possibly delisted; no timezone found
2026-07-29 17:17:29,538 ERROR yfinance: $AMOT: possibly delisted; no timezone found
2026-07-29 17:17:30,577 ERROR yfinance: $AMPI.WS: possibly delisted; no timezone found
