2026-07-29 19:32:45,510 INFO corporate_actions: 6873 candidate securities (gaps). NOTE: gap selection is high-coverage, not complete — small actions fall below the threshold; run `verify` afterwards.
2026-07-29 19:33:55,141 ERROR yfinance: $AGILW: possibly delisted; no price data found  (1d 1927-08-23 -> 2026-07-29)
2026-07-29 19:33:56,202 ERROR yfinance: $AGLE: possibly delisted; no timezone found
2026-07-29 19:33:56,960 ERROR yfinance: $AGRI: possibly delisted; no timezone found
2026-07-29 19:33:57,171 ERROR yfinance: AGRIW: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:33:57,484 ERROR yfinance: $AGRX: possibly delisted; no timezone found
2026-07-29 19:33:57,837 ERROR yfinance: $AGTC: possibly delisted; no timezone found
2026-07-29 19:33:58,188 ERROR yfinance: $AGTI: possibly delisted; no timezone found
2026-07-29 19:33:58,997 ERROR yfinance: $AHACW: possibly delisted; no timezone found
2026-07-29 19:33:59,365 ERROR yfinance: $AHC: possibly delisted; no timezone found
2026-07-29 19:34:00,402 ERROR yfinance: $AHI: possibly delisted; no timezone found
2026-07-29 19:34:00,775 ERROR yfinance: $AHPAW: possibly delisted; no timezone found
2026-07-29 19:34:01,096 ERROR yfinance: $AHPI: possibly delisted; no timezone found
2026-07-29 19:34:01,377 ERROR yfinance: $AHRNW: possibly delisted; no timezone found
2026-07-29 19:34:02,802 ERROR yfinance: $AHTPD: possibly delisted; no timezone found
2026-07-29 19:34:03,262 ERROR yfinance: $AHTPF: possibly delisted; no timezone found
2026-07-29 19:34:03,600 ERROR yfinance: $AHTPG: possibly delisted; no timezone found
2026-07-29 19:34:03,946 ERROR yfinance: $AHTPH: possibly delisted; no timezone found
2026-07-29 19:34:04,241 ERROR yfinance: $AHTPI: possibly delisted; no timezone found
2026-07-29 19:34:04,984 ERROR yfinance: $AIBBR: possibly delisted; no timezone found
2026-07-29 19:34:05,791 ERROR yfinance: $AIFER: possibly delisted; no timezone found
2026-07-29 19:34:07,034 ERROR yfinance: $AIG.WS: possibly delisted; no timezone found
2026-07-29 19:34:07,351 ERROR yfinance: $AIH: possibly delisted; no timezone found
2026-07-29 19:34:08,482 ERROR yfinance: $AIKI: possibly delisted; no timezone found
2026-07-29 19:34:08,783 ERROR yfinance: $AILE: possibly delisted; no timezone found
2026-07-29 19:34:09,072 ERROR yfinance: $AILEW: possibly delisted; no timezone found
2026-07-29 19:34:09,834 ERROR yfinance: $AIMAW: possibly delisted; no timezone found
2026-07-29 19:34:10,184 ERROR yfinance: $AIMBU: possibly delisted; no timezone found
2026-07-29 19:34:10,545 ERROR yfinance: $AIMC: possibly delisted; no timezone found
2026-07-29 19:34:11,384 ERROR yfinance: $AINC: possibly delisted; no timezone found
2026-07-29 19:34:14,538 ERROR yfinance: $AIRTW: possibly delisted; no timezone found
2026-07-29 19:34:15,346 ERROR yfinance: AITRR: Period 'max' is invalid, must be one of: 1d, 5d
2026-07-29 19:34:15,760 ERROR yfinance: $AIU: possibly delisted; no timezone found
2026-07-29 19:34:16,886 ERROR yfinance: $AJAX.WS: possibly delisted; no timezone found
2026-07-29 19:34:17,224 ERROR yfinance: $AJX: possibly delisted; no timezone found
2026-07-29 19:34:18,536 ERROR yfinance: $AKICW: possibly delisted; no timezone found
2026-07-29 19:34:19,001 ERROR yfinance: $AKLI: possibly delisted; no timezone found
2026-07-29 19:34:20,013 ERROR yfinance: $AKRO: possibly delisted; no timezone found
2026-07-29 19:34:21,047 ERROR yfinance: $AKU: possibly delisted; no timezone found
2026-07-29 19:34:21,415 ERROR yfinance: $AKUS: possibly delisted; no timezone found
2026-07-29 19:34:21,871 ERROR yfinance: $AKYA: possibly delisted; no timezone found
2026-07-29 19:34:22,694 ERROR yfinance: $ALACR: possibly delisted; no timezone found
2026-07-29 19:34:23,245 ERROR yfinance: $ALACU: possibly delisted; no timezone found
2026-07-29 19:34:24,098 ERROR yfinance: $ALACW: possibly delisted; no timezone found
2026-07-29 19:34:24,673 ERROR yfinance: $ALBO: possibly delisted; no timezone found
2026-07-29 19:34:25,593 ERROR yfinance: $ALCYW: possibly delisted; no timezone found
2026-07-29 19:34:27,164 ERROR yfinance: $ALFIW: possibly delisted; no timezone found
2026-07-29 19:34:28,452 ERROR yfinance: $ALIM: possibly delisted; no timezone found
2026-07-29 19:34:28,885 ERROR yfinance: $ALINPA: possibly delisted; no timezone found
2026-07-29 19:34:29,237 ERROR yfinance: $ALINPB: possibly delisted; no timezone found
2026-07-29 19:34:29,540 ERROR yfinance: $ALINPE: possibly delisted; no timezone found
2026-07-29 19:34:29,998 ERROR yfinance: $ALJJ: possibly delisted; no timezone found
2026-07-29 19:34:30,415 ERROR yfinance: $ALLG: possibly delisted; no timezone found
2026-07-29 19:34:30,802 ERROR yfinance: $ALLG.WS: possibly delisted; no timezone found
2026-07-29 19:34:31,177 ERROR yfinance: $ALLK: possibly delisted; no timezone found
2026-07-29 19:34:32,730 ERROR yfinance: $ALNA: possibly delisted; no timezone found
2026-07-29 19:34:33,481 ERROR yfinance: $ALORW: possibly delisted; no timezone found
2026-07-29 19:34:34,482 ERROR yfinance: $ALPAW: possibly delisted; no timezone found
2026-07-29 19:34:34,834 ERROR yfinance: $ALPN: possibly delisted; no timezone found
2026-07-29 19:34:35,694 ERROR yfinance: $ALR: possibly delisted; no timezone found
2026-07-29 19:34:36,042 ERROR yfinance: $ALRN: possibly delisted; no timezone found
2026-07-29 19:34:36,390 ERROR yfinance: $ALSAR: possibly delisted; no timezone found
2026-07-29 19:34:36,927 ERROR yfinance: $ALSAW: possibly delisted; no timezone found
2026-07-29 19:34:37,315 ERROR yfinance: $ALSK: possibly delisted; no timezone found
2026-07-29 19:34:38,627 ERROR yfinance: $ALTIW: possibly delisted; no timezone found
2026-07-29 19:34:38,928 ERROR yfinance: $ALTM: possibly delisted; no timezone found
2026-07-29 19:34:39,620 ERROR yfinance: $ALTS: possibly delisted; no timezone found
2026-07-29 19:34:39,936 ERROR yfinance: $ALTUW: possibly delisted; no timezone found
2026-07-29 19:34:40,555 ERROR yfinance: $ALUR.WS: possibly delisted; no timezone found
2026-07-29 19:34:40,850 ERROR yfinance: $ALUS.WS: possibly delisted; no timezone found
2026-07-29 19:34:41,480 ERROR yfinance: $ALVR: possibly delisted; no timezone found
2026-07-29 19:34:42,534 ERROR yfinance: $AMAM: possibly delisted; no timezone found
2026-07-29 19:34:42,930 ERROR yfinance: $AMAO: possibly delisted; no timezone found
2026-07-29 19:34:43,311 ERROR yfinance: $AMAOU: possibly delisted; no timezone found
2026-07-29 19:34:43,688 ERROR yfinance: $AMAOW: possibly delisted; no timezone found
2026-07-29 19:34:44,493 ERROR yfinance: $AMBC.WS: possibly delisted; no timezone found
2026-07-29 19:34:44,827 ERROR yfinance: $AMBI: possibly delisted; no timezone found
2026-07-29 19:34:45,178 ERROR yfinance: $AMBI.WS: possibly delisted; no timezone found
2026-07-29 19:34:45,907 ERROR yfinance: $AMBP.WS: possibly delisted; no timezone found
2026-07-29 19:34:46,806 ERROR yfinance: $AMCIU: possibly delisted; no timezone found
2026-07-29 19:34:47,139 ERROR yfinance: $AMCIW: possibly delisted; no timezone found
2026-07-29 19:34:48,415 ERROR yfinance: $AMHC: possibly delisted; no timezone found
2026-07-29 19:34:48,714 ERROR yfinance: $AMHCU: possibly delisted; no timezone found
2026-07-29 19:34:49,029 ERROR yfinance: $AMHCW: possibly delisted; no timezone found
2026-07-29 19:34:49,670 ERROR yfinance: $AMLI: possibly delisted; no timezone found
2026-07-29 19:34:51,246 ERROR yfinance: $AMOT: possibly delisted; no timezone found
2026-07-29 19:34:52,435 ERROR yfinance: $AMPI.WS: possibly delisted; no timezone found
2026-07-29 19:34:53,124 ERROR yfinance: $AMPS.WS: possibly delisted; no timezone found
2026-07-29 19:34:53,859 ERROR yfinance: $AMPX.WS: possibly delisted; no timezone found
2026-07-29 19:34:55,108 ERROR yfinance: $AMRH: possibly delisted; no timezone found
2026-07-29 19:34:55,489 ERROR yfinance: $AMRHW: possibly delisted; no timezone found
2026-07-29 19:34:55,859 ERROR yfinance: $AMRK: possibly delisted; no timezone found
2026-07-29 19:34:56,546 ERROR yfinance: $AMRS: possibly delisted; no timezone found
2026-07-29 19:34:58,306 ERROR yfinance: $AMSWA: possibly delisted; no timezone found
2026-07-29 19:34:59,148 ERROR yfinance: $AMTI: possibly delisted; no timezone found
2026-07-29 19:35:00,249 ERROR yfinance: $AMV: possibly delisted; no timezone found
2026-07-29 19:35:01,207 ERROR yfinance: $AMYT: possibly delisted; no timezone found
2026-07-29 19:35:02,868 ERROR yfinance: $ANAC.WS: possibly delisted; no timezone found
2026-07-29 19:35:03,238 ERROR yfinance: $ANCN: possibly delisted; no timezone found
2026-07-29 19:35:03,612 ERROR yfinance: $ANDAR: possibly delisted; no timezone found
